User ID,Session ID,Timestamp,Session Start Time,Session End Time,Page Visited,Session Duration (seconds),Traffic Source,Social Media Source,Paid Campaign,Device Type,Exit Page,Region,City,Latitude,Longitude,Age,Gender,Day of Week,Hour of Day,Weekend Flag,Pages Viewed,Add to Cart,Made Purchase
50413dd6-0363-4eff-a98f-2a31f466bf58,6fa0a1a1-104d-4b55-9cb3-c5d18ed9e7b6,2025-01-16 01:12:19,2025-01-16 01:12:19,2025-01-16 01:19:32.510,404 Error,433.51,Organic,,,Tablet,https://www.keith.info/,Brazil,Williammouth,34.060559,-99.397395,29,Male,3,1,0,2,True,False
1c1a7144-8458-4551-a707-cbe4417684c3,80f2c748-e117-4965-b724-567f7547063d,2025-01-18 08:20:50,2025-01-18 08:20:50,2025-01-18 08:22:04.880,Homepage,74.88,Direct,,,Desktop,https://www.knapp.org/,UK,East Amberburgh,24.33344,-137.844978,28,Female,5,8,1,3,True,True
599e5988-6a5b-48ab-bf2a-dab3654e7c68,58f51828-55e7-4d50-84c1-0f201fe5b2d3,2025-02-26 17:14:33,2025-02-26 17:14:33,2025-02-26 17:20:33.880,Homepage,360.88,Organic,,,Desktop,http://johnson.org/,India,East Danielland,-37.617884,-6.373476,25,Male,2,17,0,1,False,False
8944d9a1-8a9a-47a5-be65-e8f78a9aff27,a5fa5fc7-d7ca-488d-b24a-7fcccd27ae74,2025-01-25 17:08:02,2025-01-25 17:08:02,2025-01-25 17:12:17.460,Blog,255.46,Organic,,,Tablet,https://durham.info/,Germany,Lake Kristen,3.52776,-48.346655,23,Female,5,17,1,3,False,False
19423e2f-befb-4ccd-b2bd-6884eebd892b,ae4e6be4-b6e6-42f7-b5a2-90c089c23aa2,2025-01-03 21:12:59,2025-01-03 21:12:59,2025-01-03 21:20:02.240,Cart,423.24,Referral,,,Tablet,http://salinas-harris.org/,Canada,South Heidi,36.39777,71.842123,56,Female,4,21,0,4,True,True
fa913ce3-5f79-4efd-8ea3-8726b7361191,4b527851-2c37-474a-893c-fcfa80d91f08,2025-03-05 23:39:10,2025-03-05 23:39:10,2025-03-05 23:42:53.480,404 Error,223.48,Paid Search,,Bing Ads,Desktop,http://www.vasquez.net/,Australia,Timothyburgh,-4.184784,-84.923028,26,Male,2,23,0,4,True,True
c4620d74-ee23-40a3-9ab5-e93fd50e8ebb,0bc06c00-ba40-47c8-9757-bbce276f9169,2025-01-07 15:21:32,2025-01-07 15:21:32,2025-01-07 15:26:01.170,Homepage,269.17,Referral,,,Mobile,http://www.butler.com/,Canada,Cruzside,23.140403,74.36046,36,Female,1,15,0,7,False,False
90833e55-268f-4b11-aac4-3c92345deccf,fd70fe3c-1fe0-4628-a116-9ed052dfdb29,2025-02-17 11:49:59,2025-02-17 11:49:59,2025-02-17 11:52:25.380,Checkout,146.38,Paid Search,,Facebook Ads,Tablet,http://www.reynolds.com/,Germany,Hubbardport,-29.743256,-123.224615,30,Male,0,11,0,7,True,False
5a3d038a-b9f7-42b8-9545-8e4d56112a78,392600b9-0e6a-46e7-9f14-982287668c26,2025-02-28 09:14:41,2025-02-28 09:14:41,2025-02-28 09:17:45.160,Checkout,184.16,Referral,,,Desktop,http://vega.net/,Germany,Browntown,-50.073822,-123.834341,33,Female,4,9,0,9,False,False
99257ed5-8afc-4c34-be90-01ce909597a6,52a0792f-1623-4219-8096-fe9ac5aff3c9,2025-01-16 19:47:52,2025-01-16 19:47:52,2025-01-16 19:57:39.020,404 Error,587.02,Paid Search,,Instagram Ads,Desktop,https://www.west.com/,Germany,Riveraview,-53.66554,96.783847,31,Male,3,19,0,2,False,False
